2023-01-31T16:23:30.772+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@5be1a762
2023-01-31T16:23:30.772+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@1168157c
2023-01-31T16:23:30.772+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@1168157c
2023-01-31T16:23:30.772+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@40d82cd7
2023-01-31T16:23:30.772+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@40d82cd7
2023-01-31T16:23:30.772+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration character -> org.hibernate.type.BasicTypeReference@5d5ca5ab
2023-01-31T16:23:30.773+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration char -> org.hibernate.type.BasicTypeReference@5d5ca5ab
2023-01-31T16:23:30.773+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@5d5ca5ab
2023-01-31T16:23:30.773+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@bd0c3d5
2023-01-31T16:23:30.773+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration string -> org.hibernate.type.BasicTypeReference@5ac2f426
2023-01-31T16:23:30.773+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@5ac2f426
